onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	1.300	PURS	1201.0	479.0	818.0	437.0	7.150	403.299	28.765	77.770
1.300	0.060	ISAC	1095.0	437.0	360.0	518.0	13.723	686.140	257.030	314.390
1.360	5.640	PURS	360.0	518.0	333.0	593.0	1.479	577.800	40.077	76.057
7.000	0.080	ISAC	342.0	593.0	1448.0	593.0	20.525	751.604	141.506	258.654
7.080	0.020	ILPS	1448.0	593.0	1448.0	593.0	0.000	0.000	0.000	0.000
7.100	7.060	FIXA	809.0	629.0	1027.0	510.0	4.609	739.541	54.935	95.843
14.160	0.080	ISAC	1200.0	215.0	347.0	636.0	17.653	807.989	272.798	338.396
14.240	5.500	PURS	413.0	654.0	1225.0	476.0	15.427	681.083	44.539	93.196
19.740	0.200	ISAC	1327.0	373.0	664.0	642.0	13.278	775.730	127.104	288.279
19.940	0.460	FIXA	664.0	642.0	548.0	468.0	3.881	246.233	54.872	76.805
20.400	0.040	ISAC	567.0	468.0	1169.0	510.0	11.199	559.957	288.794	288.794
20.440	0.920	PURS	1169.0	573.0	1090.0	719.0	3.081	291.120	21.670	55.924
